station_id,district,fuel_type,hour_of_day,day_of_week,is_weekend,is_payday_week,is_rainy,nearby_shortage_index,current_queue_length,active_pumps,active_nozzles,avg_service_time_sec_15m,arrivals_last_15m,departures_last_15m,reservations_next_30m,walk_in_ratio,stock_litres,delivery_eta_minutes,pump_fault_count,complaints_last_24h,manual_overrides_last_24h,queue_length_30m,wait_time_minutes,stockout_minutes,congestion_level
01J6SLBTY00000000000000004,Blantyre,PETROL,13,2,false,true,false,0.79,41,2,2,275,24,6,21,0.77,6100,360,1,11,4,70,79.5,145,CRITICAL
01J6SLBTY00000000000000004,Blantyre,DIESEL,9,2,false,true,false,0.50,13,1,1,240,9,4,5,0.88,15800,260,0,2,1,23,42.0,520,MEDIUM
OSM-MW-FUEL-W-815461961,Lilongwe,PETROL,11,1,false,false,false,0.33,10,3,3,185,8,9,3,0.66,27500,300,0,1,0,9,12.5,1020,LOW
OSM-MW-FUEL-W-815461961,Lilongwe,PETROL,18,1,false,false,true,0.57,28,2,2,255,18,7,12,0.71,12100,420,0,5,2,45,52.0,360,HIGH
SL-MW-LLWE-7882,Lilongwe,DIESEL,16,3,false,false,false,0.22,7,2,2,195,5,6,2,0.86,29500,180,0,0,0,6,10.0,1500,LOW
SL-MW-LLWE-7882,Lilongwe,PETROL,20,4,false,true,false,0.81,44,3,3,245,27,11,20,0.73,7600,500,0,10,3,64,52.0,165,HIGH
OSM-MW-FUEL-N-4031717241,Rumphi,PETROL,8,5,true,false,false,0.48,21,2,2,230,14,7,8,0.69,11600,300,0,3,1,32,39.0,340,MEDIUM
OSM-MW-FUEL-N-4031717241,Rumphi,PETROL,17,5,true,true,false,0.90,52,1,1,310,29,3,25,0.81,3900,600,2,16,7,104,145.0,70,CRITICAL
OSM-MW-FUEL-N-2567672403,Nchalo,DIESEL,7,0,false,false,false,0.24,3,1,1,205,2,3,1,0.92,25000,240,0,0,0,2,9.0,1600,LOW
OSM-MW-FUEL-N-2567672403,Nchalo,PETROL,12,0,false,false,true,0.46,16,2,2,230,11,7,5,0.72,14300,360,0,2,1,24,33.0,430,MEDIUM
OSM-MW-FUEL-N-476605568,Blantyre,PETROL,21,5,true,true,false,0.86,49,2,2,290,28,6,24,0.79,4500,480,1,14,6,89,102.0,95,CRITICAL
OSM-MW-FUEL-N-476605568,Blantyre,DIESEL,10,5,true,true,false,0.44,12,1,1,250,8,4,4,0.89,16800,240,0,1,1,20,38.0,610,MEDIUM
OSM-MW-FUEL-W-815461961,Lilongwe,PETROL,6,2,false,false,false,0.29,7,4,4,165,6,9,2,0.61,33500,180,0,0,0,4,6.5,1320,LOW
OSM-MW-FUEL-W-815461961,Lilongwe,PETROL,15,2,false,false,false,0.61,30,3,3,225,20,10,13,0.69,13800,360,0,4,2,43,33.0,390,MEDIUM
OSM-MW-FUEL-N-4031717241,Rumphi,DIESEL,18,4,false,false,false,0.37,10,1,1,235,7,4,3,0.91,21000,300,0,1,0,17,34.0,820,LOW
OSM-MW-FUEL-N-4031717241,Rumphi,PETROL,19,4,false,false,false,0.70,36,2,2,270,22,7,16,0.76,6900,420,1,7,3,58,68.0,180,HIGH
OSM-MW-FUEL-N-4849594393,Zalewa,PETROL,8,1,false,false,false,0.31,9,2,2,200,7,7,3,0.68,19800,240,0,0,0,9,18.0,760,LOW
OSM-MW-FUEL-N-4849594393,Zalewa,PETROL,17,1,false,false,false,0.64,29,2,2,255,18,7,11,0.74,9800,360,0,4,2,45,51.5,290,HIGH
SL-MA-BLNT-9089,Blantyre,PETROL,12,3,false,true,false,0.77,43,1,1,300,24,4,20,0.82,5700,500,1,12,5,83,129.0,120,CRITICAL
SL-MA-BLNT-9089,Blantyre,DIESEL,13,3,false,true,true,0.45,14,1,1,260,9,4,5,0.90,17100,400,0,2,1,24,45.0,590,MEDIUM
OSM-MW-FUEL-N-11324758269,Lilongwe,PETROL,22,6,true,false,false,0.58,25,3,3,230,15,10,7,0.66,12000,480,0,2,1,32,27.0,420,MEDIUM
OSM-MW-FUEL-N-11324758269,Lilongwe,DIESEL,11,6,true,false,false,0.26,6,2,2,190,4,5,1,0.84,28000,240,0,0,0,5,9.0,1450,LOW
